Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
16773,Real Bout Garou Densetsu Special: Dominated Mind,PS,1998,Fighting,SNK  ,SNK Corporation  ,,,,,0.05,0.0,0.06
16774,Gun Showdown,PSP,2006,Action,Activision  ,Neversoft Entertainment / Rebellion  ,,,0.05,0.0,,0.01,0.06
16775,Minna no Sukkiri,PSP,2009,Sports,Sony Computer Entertainment  ,SCEI  ,,,,,0.06,,0.06
16776,Catwoman,XB,2004,Action,Electronic Arts  ,Argonaut Games  ,4.7,,0.04,0.01,,0.0,0.06
16777,Syndicate,PC,1993,Strategy,Electronic Arts  ,Bullfrog Productions  ,,,0.0,0.05,,0.01,0.06
16778,Aquarium by DS,DS,2008,Simulation,Bold Games  ,Ertain  ,,,0.05,,,0.0,0.06
16779,Gormiti: The Lords of Nature!,DS,2010,Adventure,Konami  ,Climax Group  ,,,0.05,0.0,,0.0,0.06
16780,Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing,Square Enix  ,tri-Ace  ,,,,,0.06,,0.06
16781,Winx Club: Mission Enchantix,DS,2008,Adventure,Konami  ,Konami  ,,,0.03,0.02,,0.0,0.06
16782,Warriors Orochi 2,X360,2008,Action,KOEI  ,Omega Force  ,4.6,,0.04,0.0,0.01,0.0,0.06
16783,Burning Rangers,SAT,1998,Platform,Sega  ,Sonic Team  ,,,,,0.06,0.0,0.06
16784,Mana Khemia: Alchemists of Al-Revis,PS2,2008,Role-Playing,NIS America  ,Gust  ,6.6,,0.03,0.02,,0.01,0.06
16785,Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,2010,Action,Takara Tomy   ,Takara Tomy  ,,,,,0.06,,0.06
16786,Interplay Sports Baseball 2000,PS,1999,Sports,Interplay  ,Interplay  ,,,0.03,0.02,,0.0,0.06
16787,Zone of the Enders: The Fist of Mars,GBA,2002,Role-Playing,Konami  ,WinkySoft  ,,,0.04,0.02,,0.0,0.06
16788,Animorphs: Shattered Reality,PS,2000,Action,Infogrames  ,Single Trac  ,3.5,,0.03,0.02,,0.0,0.06
16789,Golf Club 2,XOne,2017,Sports,Maximum Games  ,HB Studios  ,,,0.05,,,0.01,0.06
16790,Samurai Shodown Anthology,Wii,2009,Fighting,SNK Playmore  ,SNK Playmore Corporation  ,,,0.05,,0.0,0.0,0.06
16791,Eikan wa Kimini 2002: Koshien no Kodou,PS2,2002,Sports,DigiCube  ,ArtDink  ,,,,,0.06,,0.06
16792,Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1993,Fighting,Konami  ,Konami  ,,,,,0.06,0.0,0.06
